date, pm25
2021/9/21, 85
2021/9/22, 68
2021/9/23, 72
2021/9/24, 79
2021/9/25, 89
2021/9/26, 65
2021/9/27, 68
2021/9/28, 68
2021/9/29, 94
2021/9/30, 77
2021/4/1, 224
2021/4/2, 176
2021/4/3, 154
2021/4/4, 180
2021/4/5, 178
2021/4/6, 175
2021/4/7, 156
2021/4/8, 169
2021/4/9, 144
2021/4/10, 132
2021/4/11, 125
2021/4/12, 106
2021/4/13, 117
2021/4/14, 126
2021/4/15, 119
2021/4/16, 141
2021/4/17, 144
2021/4/18, 92
2021/4/19, 99
2021/4/20, 101
2021/4/21, 92
2021/4/22, 91
2021/4/23, 92
2021/4/24, 82
2021/4/25, 83
2021/4/26, 109
2021/4/27, 125
2021/4/28, 111
2021/4/29, 114
2021/4/30, 109
2021/5/1, 112
2021/5/2, 110
2021/5/3, 95
2021/5/4, 87
2021/5/5, 78
2021/5/6, 92
2021/5/7, 80
2021/5/8, 81
2021/5/9, 58
2021/5/10, 54
2021/5/11, 81
2021/5/12, 86
2021/5/17, 77
2021/5/18, 73
2021/5/19, 90
2021/5/20, 97
2021/5/21, 77
2021/5/22, 71
2021/5/23, 83
2021/5/24, 91
2021/5/25, 89
2021/5/26, 95
2021/5/27, 82
2021/5/28, 88
2021/5/29, 97
2021/5/30, 73
2021/5/31, 77
2021/6/1, 66
2021/6/2, 78
2021/6/3, 109
2021/6/4, 78
2021/6/5, 91
2021/6/6, 69
2021/6/7, 98
2021/6/8, 93
2021/6/9, 76
2021/6/10, 94
2021/6/11, 68
2021/6/12, 69
2021/6/13, 74
2021/6/14, 93
2021/6/15, 81
2021/6/16, 74
2021/6/17, 93
2021/6/18, 130
2021/6/19, 113
2021/6/20, 87
2021/6/21, 59
2021/6/22, 71
2021/6/23, 72
2021/6/24, 79
2021/6/25, 111
2021/6/26, 71
2021/6/27, 74
2021/6/28, 84
2021/6/29, 111
2021/6/30, 77
2021/2/14, 158
2021/2/15, 160
2021/2/16, 93
2021/2/17, 124
2021/2/18, 209
2021/2/19, 269
2021/2/20, 265
2021/2/21, 219
2021/2/22, 184
2021/2/23, 166
2021/2/24, 144
2021/2/25, 186
2021/2/26, 217
2021/2/27, 197
2021/2/28, 185
2021/3/1, 117
2021/3/2, 189
2021/3/3, 126
2021/3/4, 136
2021/3/5, 169
2021/3/6, 175
2021/3/7, 185
2021/3/8, 155
2021/3/9, 156
2021/3/10, 161
2021/3/11, 140
2021/3/12, 138
2021/3/13, 142
2021/3/14, 159
2021/3/15, 221
2021/3/16, 186
2021/3/17, 169
2021/3/18, 164
2021/3/19, 160
2021/3/20, 160
2021/3/21, 140
